Location,Size (sqft),BHK,Bathrooms,Price (INR),Property Type,Age of Property (years),Furnishing Status,Transaction Type,Floor Number,Total Floors,Parking,Nearby Amenity
Amravati,1836,1,4,49500000,Studio Apartment,5,Semi-furnished,Resale,20,21,3,Hospital Nearby
Amravati,2449,4,1,45300000,Penthouse,26,Furnished,New Booking,12,38,2,Gym
Nashik,2620,5,2,36800000,Studio Apartment,19,Semi-furnished,New Booking,11,15,0,Park
Mumbai,2741,1,1,20300000,Studio Apartment,9,Semi-furnished,New Booking,21,36,3,Park
Mumbai,4186,5,4,43300000,Studio Apartment,19,Unfurnished,Resale,24,40,0,Swimming Pool
Nashik,3684,4,3,11100000,Studio Apartment,5,Furnished,New Booking,1,33,2,Mall Nearby
Solapur,1587,1,3,16700000,Apartment,29,Semi-furnished,New Booking,12,23,2,Park
Solapur,2902,1,1,27600000,Apartment,22,Furnished,New Booking,15,18,1,Swimming Pool
Solapur,1497,4,1,43200000,Studio Apartment,14,Furnished,New Booking,23,30,2,Park
Mumbai,4633,5,2,26200000,Apartment,12,Furnished,New Booking,17,22,1,Swimming Pool
Pune,3598,1,4,40100000,Apartment,25,Unfurnished,Resale,6,10,3,Gym
Amravati,1206,3,1,9900000,Penthouse,16,Furnished,New Booking,8,15,3,Gym
Nagpur,801,5,4,41100000,Villa,0,Semi-furnished,New Booking,10,36,1,Gym
Solapur,2534,2,2,32500000,Villa,14,Semi-furnished,Resale,15,28,3,Hospital Nearby
Thane,2879,5,3,47600000,Apartment,10,Furnished,New Booking,27,35,3,Swimming Pool
Kolhapur,4089,5,1,22200000,Penthouse,18,Unfurnished,Resale,16,39,3,Mall Nearby
Amravati,362,3,2,2300000,Independent House,1,Furnished,Resale,6,39,1,Park
Pune,655,2,3,33700000,Apartment,11,Furnished,New Booking,11,20,3,Park
Nagpur,1350,1,1,3100000,Studio Apartment,3,Furnished,New Booking,27,32,2,School Nearby
Nagpur,2082,2,4,2100000,Apartment,10,Semi-furnished,New Booking,13,15,2,School Nearby
Mumbai,4994,2,2,5600000,Apartment,3,Furnished,Resale,28,28,3,Mall Nearby
Nashik,1663,1,1,27000000,Independent House,1,Semi-furnished,Resale,16,37,0,Hospital Nearby
Mumbai,4645,3,3,39100000,Independent House,13,Semi-furnished,Resale,24,36,1,Swimming Pool
Nashik,690,1,2,25400000,Studio Apartment,5,Furnished,New Booking,18,21,3,Mall Nearby
Nashik,611,2,2,19300000,Penthouse,5,Semi-furnished,Resale,8,24,2,Swimming Pool
Thane,2842,1,2,45400000,Apartment,29,Unfurnished,Resale,17,23,2,Mall Nearby
Aurangabad,2520,3,2,25500000,Independent House,26,Semi-furnished,New Booking,5,27,2,Swimming Pool
Solapur,3576,2,2,2400000,Penthouse,14,Unfurnished,Resale,6,37,3,Hospital Nearby
Nashik,3786,4,3,5200000,Independent House,19,Semi-furnished,New Booking,24,39,0,Mall Nearby
Sangli,3365,3,3,18600000,Penthouse,25,Unfurnished,Resale,8,8,1,School Nearby
Nashik,2563,1,4,19200000,Penthouse,21,Furnished,Resale,5,25,0,School Nearby
Kolhapur,4714,1,4,32900000,Penthouse,26,Semi-furnished,New Booking,2,18,3,Swimming Pool
Aurangabad,958,4,1,39400000,Independent House,23,Semi-furnished,New Booking,22,36,2,Park
Solapur,386,4,4,15700000,Independent House,18,Unfurnished,New Booking,6,10,2,Hospital Nearby
Aurangabad,3173,5,2,4300000,Apartment,0,Furnished,New Booking,11,20,2,Gym
Thane,3453,1,3,36000000,Apartment,6,Unfurnished,New Booking,2,3,1,Park
Sangli,1714,1,2,33700000,Independent House,17,Furnished,Resale,12,22,3,Park
Kolhapur,364,5,4,47600000,Studio Apartment,22,Semi-furnished,Resale,29,37,2,Swimming Pool
Thane,2343,3,1,16600000,Villa,15,Unfurnished,Resale,6,23,2,Mall Nearby
Sangli,4180,2,1,29500000,Penthouse,20,Unfurnished,Resale,22,35,0,Park
Pune,4288,1,4,28400000,Studio Apartment,11,Unfurnished,Resale,6,31,3,Swimming Pool
Solapur,2815,4,2,48600000,Studio Apartment,9,Furnished,New Booking,25,34,0,Swimming Pool
Thane,363,1,4,14600000,Villa,22,Semi-furnished,Resale,4,16,3,Gym
Solapur,4975,2,4,1300000,Apartment,14,Semi-furnished,New Booking,28,30,1,School Nearby
Nagpur,4925,4,1,26300000,Independent House,28,Furnished,Resale,16,35,2,School Nearby
Nashik,3144,5,4,9300000,Independent House,23,Semi-furnished,Resale,17,39,3,Park
Aurangabad,3118,2,4,45200000,Studio Apartment,25,Furnished,Resale,29,39,0,Park
Nagpur,1756,3,4,15500000,Apartment,15,Furnished,New Booking,13,22,1,Hospital Nearby
Nashik,3268,5,3,13400000,Studio Apartment,11,Unfurnished,New Booking,16,23,0,Gym
Nagpur,986,4,4,40500000,Apartment,9,Unfurnished,Resale,20,25,1,Swimming Pool
Nagpur,2030,1,3,36400000,Independent House,19,Furnished,Resale,25,35,0,Hospital Nearby
Sangli,376,4,4,21400000,Penthouse,28,Unfurnished,New Booking,6,19,1,Park
Amravati,3082,5,4,14500000,Studio Apartment,23,Unfurnished,Resale,14,36,1,Mall Nearby
Aurangabad,4166,3,2,6400000,Apartment,10,Unfurnished,Resale,3,3,0,Swimming Pool
Amravati,4531,1,1,20900000,Villa,25,Furnished,Resale,3,27,2,Swimming Pool
Mumbai,3116,3,2,31400000,Penthouse,27,Unfurnished,New Booking,17,25,0,Swimming Pool
Nagpur,1284,5,2,26700000,Penthouse,12,Furnished,Resale,20,25,2,Swimming Pool
Mumbai,2028,1,3,27500000,Studio Apartment,20,Semi-furnished,New Booking,27,27,0,Mall Nearby
Mumbai,1092,1,2,23700000,Apartment,11,Semi-furnished,New Booking,18,28,1,Gym
Amravati,2809,1,1,6800000,Villa,6,Furnished,New Booking,5,13,2,Gym
Nagpur,4889,2,2,26900000,Apartment,12,Furnished,New Booking,22,39,1,Gym
Nashik,4533,1,3,30000000,Apartment,19,Semi-furnished,New Booking,4,4,2,Park
Nagpur,3522,1,1,1200000,Independent House,4,Semi-furnished,Resale,28,39,0,School Nearby
Mumbai,2993,1,2,48000000,Penthouse,19,Unfurnished,New Booking,15,40,3,Mall Nearby
Aurangabad,3098,4,1,8900000,Penthouse,15,Furnished,Resale,7,31,1,Hospital Nearby
Pune,927,1,4,11900000,Penthouse,11,Furnished,Resale,18,27,3,Hospital Nearby
Amravati,3055,2,1,14700000,Studio Apartment,16,Semi-furnished,Resale,21,38,2,Gym
Solapur,2898,3,1,42700000,Penthouse,14,Unfurnished,New Booking,24,37,2,Gym
Nagpur,2369,4,2,21500000,Villa,8,Furnished,New Booking,13,34,1,Hospital Nearby
Mumbai,877,4,4,48400000,Apartment,15,Unfurnished,Resale,9,18,3,Park
Amravati,2816,3,2,5000000,Studio Apartment,2,Furnished,New Booking,14,30,1,Park
Amravati,4905,1,3,6500000,Penthouse,18,Furnished,Resale,1,24,3,Park
Solapur,2766,4,4,25900000,Independent House,17,Semi-furnished,Resale,19,32,0,Gym
Aurangabad,588,4,3,29000000,Apartment,9,Semi-furnished,Resale,7,35,1,Park
Sangli,1938,5,3,8300000,Apartment,27,Unfurnished,Resale,14,15,0,School Nearby
